学生人数     课程数量
28                6 

学号     姓名     课程1     课程2     课程3     课程4     课程5     课程6     总分     平均分

1028     曹颖     89.0     90.0     89.0     90.0     89.0     90.0     537.0     89.5
1005     陈杰     89.0     91.0     90.0     88.0     91.0     91.0     540.0     90.0
1027     程远     74.0     76.0     75.0     74.0     76.0     75.0     450.0     75.0
1025     董洁     97.0     95.0     96.0     97.0     95.0     96.0     576.0     96.0
1023     冯涛     75.0     77.0     76.0     75.0     77.0     76.0     456.0     76.0
1016     高鹏     82.0     84.0     83.0     82.0     84.0     83.0     498.0     83.0
1014     郭静     91.0     89.0     90.0     91.0     89.0     90.0     540.0     90.0
1015     何伟     77.0     79.0     78.0     77.0     79.0     78.0     468.0     78.0
1013     胡凯     83.0     85.0     84.0     83.0     85.0     84.0     504.0     84.0
1008     黄婷     95.0     93.0     94.0     96.0     95.0     91.0     564.0     94.0
1003     李娜     92.0     88.0     90.0     91.0     89.0     90.0     540.0     90.0
1020     梁超     80.0     82.0     81.0     80.0     82.0     81.0     486.0     81.0
1017     林雪     94.0     96.0     95.0     94.0     96.0     95.0     570.0     95.0
1004     刘洋     76.0     80.0     78.0     77.0     79.0     78.0     468.0     78.0
1018     罗阳     72.0     74.0     73.0     72.0     74.0     73.0     438.0     73.0
1012     孙丽     79.0     81.0     80.0     79.0     81.0     80.0     480.0     80.0
1022     唐婧     93.0     91.0     92.0     93.0     91.0     92.0     552.0     92.0
1002     王芳     78.0     82.0     80.0     79.0     81.0     80.0     480.0     80.0
1010     吴倩     88.0     86.0     87.0     88.0     86.0     87.0     522.0     87.0
1026     萧然     81.0     83.0     82.0     81.0     83.0     82.0     492.0     82.0
1021     谢军     69.0     71.0     70.0     69.0     71.0     70.0     420.0     70.0
1011     徐浩     90.0     92.0     91.0     90.0     92.0     91.0     546.0     91.0
1006     杨敏     84.0     87.0     85.0     86.0     84.0     87.0     513.0     85.5
1024     于洋     86.0     84.0     85.0     86.0     84.0     85.0     510.0     85.0
1001     张伟     85.0     90.0     88.0     86.0     87.0     89.0     525.0     87.5
1007     赵磊     73.0     75.0     74.0     72.0     73.0     77.0     444.0     74.0
1019     郑爽     87.0     88.0     87.0     88.0     87.0     88.0     525.0     87.5
1009     周强     68.0     70.0     69.0     67.0     68.0     72.0     414.0     69.0
